Price,Close,mom,signal_raw,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade_side_raw,strat_ret_net,wealth_strategy_net,signal_costaware,signal_cost_shift,strat_ret_ca,trade_side_ca,strat_ret_ca_net,wealth_strategy_ca,wealth_strategy_ca_net
Ticker,SPY,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2024-03-08,511.7200012207031,0.026890338937898717,1,1.0,-0.00600220732414769,-0.00600220732414769,1.071193842234766,1.2515859111310774,0.0,-0.00600220732414769,1.2298844913789215,1,1.0,-0.00600220732414769,0.0,-0.00600220732414769,1.265100180533768,1.2444152542236708
2024-03-11,511.2799987792969,0.02011170456257272,1,1.0,-0.0008598499967885642,-0.0008598499967885642,1.0702727762129605,1.2505097349894108,0.0,-0.0008598499967885642,1.228826975202959,1,1.0,-0.0008598499967885642,0.0,-0.0008598499967885642,1.264012384147599,1.243345243771323
2024-03-12,516.780029296875,0.03153822101492598,1,1.0,0.010757374688447952,0.010757374688447952,1.0817861014855288,1.2639619367602437,0.0,0.010757374688447952,1.2420459274024893,1,1.0,0.010757374688447952,0.0,0.010757374688447952,1.277609838974713,1.2567203744256707
2024-03-13,515.969970703125,0.04430453514768651,1,1.0,-0.0015675114126452172,-0.0015675114126452172,1.0800903894254092,1.2619806619992229,0.0,-0.0015675114126452172,1.2400990062362565,1,1.0,-0.0015675114126452172,0.0,-0.0015675114126452172,1.2756071709712125,1.2547504508962548
2024-03-14,514.9500122070312,0.03285397164326542,1,1.0,-0.001976778793354672,-0.001976778793354672,1.0779552896486868,1.2594860053889592,0.0,-0.001976778793354672,1.2376476048190683,1,1.0,-0.001976778793354672,0.0,-0.001976778793354672,1.2730855777669854,1.252270086813971
2024-03-15,509.8299865722656,0.015577332432657132,1,1.0,-0.009942762430127261,-0.009942762430127261,1.067237436293411,1.2469632352533067,0.0,-0.009942762430127261,1.2253419687121363,1,1.0,-0.009942762430127261,0.0,-0.009942762430127261,1.260427590314027,1.2398190628424248
2024-03-18,512.8599853515625,0.02672614226930392,1,1.0,0.005943155285291102,0.005943155285291102,1.0735801941035787,1.254374131395466,0.0,0.005943155285291102,1.232624366309777,1,1.0,0.005943155285291102,0.0,0.005943155285291102,1.2679185072091286,1.2471875000585615
2024-03-19,515.7100219726562,0.03814721763930229,1,1.0,0.005557143669806974,0.005557143669806974,1.0795462334832715,1.2613448686593198,0.0,0.005557143669806974,1.239474237004265,1,1.0,0.005557143669806974,0.0,0.005557143669806974,1.2749645125152969,1.2541183001795744
2024-03-20,520.47998046875,0.0468011291277004,1,1.0,0.009249303470675319,0.009249303470675319,1.0895312842073828,1.273011430130729,0.0,0.009249303470675319,1.2509385103664012,1,1.0,0.009249303470675319,0.0,0.009249303470675319,1.2867570462058924,1.2657180209260628
2024-03-21,522.2000122070312,0.028965541294642794,1,1.0,0.003304702971922424,0.003304702971922424,1.0931318614803054,1.2772183547871732,0.0,0.003304702971922424,1.2550724905793014,1,1.0,0.003304702971922424,0.0,0.003304702971922424,1.291009396040631,1.269900843031433
2024-03-22,521.2100219726562,0.026307011339126385,1,1.0,-0.001895806609024997,-0.001895806609024997,1.0910594948727752,1.2747969957889995,0.0,-0.001895806609024997,1.2526931158568557,1,1.0,-0.001895806609024997,0.0,-0.001895806609024997,1.288561891895304,1.2674933566204074
2024-03-25,519.77001953125,0.027233798222949135,1,1.0,-0.0027628065092766274,-0.0027628065092766274,1.0880451085983327,1.2712749783510273,0.0,-0.0027628065092766274,1.2492321671622404,1,1.0,-0.0027628065092766274,0.0,-0.0027628065092766274,1.2850018447127698,1.2639915177242718
2024-03-26,518.8099975585938,0.023435198261016366,1,1.0,-0.0018470129799368351,-0.0018470129799368351,1.0860354751599948,1.268926916964944,0.0,-0.0018470129799368351,1.246924819134537,1,1.0,-0.0018470129799368351,0.0,-0.0018470129799368351,1.2826284296263426,1.2616569089845049
2024-03-27,523.1699829101562,0.033401755655873,1,1.0,0.008403819070718743,0.008403819070718743,1.0951623207976213,1.2795907491890823,0.0,0.008403819070718743,1.2574037497093324,1,1.0,0.008403819070718743,0.0,0.008403819070718743,1.2934074068838826,1.272259645376933
2024-03-28,523.0700073242188,0.029503269461728765,1,1.0,-0.00019109579907738983,-0.00019109579907738983,1.094953039878809,1.279346224772374,0.0,-0.00019109579907738983,1.2571634651350188,1,1.0,-0.00019109579907738983,0.0,-0.00019109579907738983,1.2931602421619315,1.272016521903366
2024-04-01,522.1599731445312,0.018153452279990878,1,1.0,-0.0017397942282005863,-0.0017397942282005863,1.0930480468998771,1.2771204255946447,0.0,-0.0017397942282005863,1.2549762593944722,1,1.0,-0.0017397942282005863,0.0,-0.0017397942282005863,1.2909104094364796,1.2698034749003826
2024-04-02,518.8400268554688,0.012766034000264215,1,1.0,-0.006358101845817976,-0.006358101845817976,1.0860983360953154,1.2690003638593395,0.0,-0.006358101845817976,1.2469969925231585,1,1.0,-0.006358101845817976,0.0,-0.006358101845817976,1.282702669579456,1.2617299350827924
2024-04-03,519.4099731445312,0.024113688720698523,1,1.0,0.0010985010013910834,0.0010985010013910834,1.0872914162051253,1.2703943620298046,0.0,0.0010985010013910834,1.248366819968177,1,1.0,0.0010985010013910834,0.0,0.0010985010013910834,1.284111719746476,1.263115946679966
2024-04-04,513.0700073242188,0.00651301093520118,1,1.0,-0.012206091812080655,-0.012206091812080655,1.0740198373524383,1.2548878118093192,0.0,-0.012206091812080655,1.2331291399484903,1,1.0,-0.012206091812080655,0.0,-0.012206091812080655,1.2684377341982818,1.247698237465487
2024-04-05,518.4299926757812,0.007031710989209072,1,1.0,0.010446888874904303,0.010446888874904303,1.085240003242702,1.2679974853297629,0.0,0.010446888874904303,1.2460115030419385,1,1.0,0.010446888874904303,0.0,0.010446888874904303,1.2816889622521865,1.260732802301703
2024-04-08,518.719970703125,0.01367929622786579,1,1.0,0.0005593388334788063,0.0005593388334788063,1.0858470201201604,1.2687067255640612,0.0,0.0005593388334788063,1.2467084456625512,1,1.0,0.0005593388334788063,0.0,0.0005593388334788063,1.2824058606612154,1.261437979116671
2024-04-09,519.3200073242188,0.015725255367152524,1,1.0,0.0011567640634317922,0.0011567640634317922,1.08710308893142,1.2701743199112279,0.0,0.0011567640634317922,1.2481505931900705,1,1.0,0.0011567640634317922,0.0,0.0011567640634317922,1.2838893016755626,1.2628971652391612
2024-04-10,514.1199951171875,-0.005147323868739062,0,1.0,-0.010013117410638928,-0.010013117410638928,1.0762177980644814,1.2574559153139784,0.0,-0.010013117410638928,1.2356527147542997,0,1.0,-0.010013117410638928,0.0,-0.010013117410638928,1.271033567355622,1.2502516276460585
2024-04-11,518.0,0.003934394271256858,1,0.0,0.007546885784763369,0.0,1.0843398908660036,1.2574559153139784,1.0,-0.0005,1.2350348883969227,1,0.0,0.0,1.0,-0.0005,1.271033567355622,1.2496265018322354
2024-04-12,510.8500061035156,-0.007961949716135286,0,1.0,-0.013803077020240084,-0.013803077020240084,1.0693726638362615,1.240099154465343,1.0,-0.014303077020240085,1.2173700892654977,0,1.0,-0.013803077020240084,1.0,-0.014303077020240085,1.2534893931301017,1.2317529977299957
2024-04-15,504.45001220703125,-0.010552487117137854,0,0.0,-0.012528127278102708,-0.0,1.0559754269959971,1.240099154465343,1.0,-0.0005,1.216761404220865,0,0.0,-0.0,1.0,-0.0005,1.2534893931301017,1.2311371212311308
2024-04-16,503.5299987792969,-0.018192073545901577,0,0.0,-0.0018237950351298604,-0.0,1.0540495442550226,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-04-17,500.54998779296875,-0.029396431199258943,0,0.0,-0.00591823921822443,-0.0,1.0478114269042609,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-04-18,499.5199890136719,-0.04027050461422421,0,0.0,-0.00205773410131993,-0.0,1.0456553095993673,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-04-19,495.1600036621094,-0.05178094200082406,0,0.0,-0.00872835011101658,-0.0,1.0365284639617405,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
